floy,temp,round,tank,date,inc_day,embryo_length,,,
HO_030,27,2,1,14/08/2018,72,8.097,,,
HO_033,31,2,2,30/09/2018,52,8.139,,,
HO_008,29,1,1,10/08/2017,50,8.153,,,
HO_004,27,1,2,8/08/2017,76,8.282,,,
HO_002,27,1,2,27/06/2017,59,8.295,,,
HO_004,27,1,2,31/07/2017,68,8.297,,,
HO_025,27,1,2,12/02/2018,74,8.309,,,
HO_039,27,2,1,12/12/2018,67,8.36,,,
HO_008,29,1,1,12/08/2014,52,8.378,,,
HO_012,27,1,2,31/10/2017,73,8.41,,,
HO_009,29,1,1,7/09/2017,51,8.437,,,
HO_013,29,1,1,25/10/2017,67,8.439,,,
HO_041,31,2,2,2/01/2019,48,8.547,,,
HO_040,31,2,2,6/12/2018,61,8.602,,,
HO_008,29,1,1,8/08/2017,48,8.61,,,
HO_008,29,1,1,14/08/2017,54,8.631,,,
HO_002,27,1,2,29/06/2017,61,8.7105,,,
HO_015,27,1,2,2/11/2017,75,8.715,,,
HO-042,27,2,1,24/01/2019,70,8.788,,,
HO_030,27,2,1,2/08/2018,60,8.793,,,
HO_009,29,1,1,13/09/2017,57,8.944,,,
HO_040,31,2,2,1/12/2018,56,9.019,,,
HO_002,27,1,2,25/06/2017,57,9.0435,,,
HO_008,29,1,1,24/08/2017,64,9.086,,,
HO_041,31,2,2,10/01/2019,56,9.102,,,
HO_012,27,1,2,25/10/2017,67,9.206,,,
HO_027,27,2,1,16/08/2018,77,9.247,,,
HO_018,29,1,1,13/11/2017,66,9.3845,,,
HO_026,31,2,2,19/07/2018,66,9.409,,,
HO_030,27,2,1,18/08/2018,76,9.411,,, 
HO_035,27,2,1,27/11/2018,88,9.458,,,
HO_003,27,1,2,21/07/2017,58,9.478,,,
HO_027,27,2,1,9/08/2018,70,9.51,,,
HO_002,27,1,2,13/07/2017,75,9.512,,,
HO-029,27,2,1,12/08/2018,70,9.519,,,
HO-042,27,2,1,20/01/2019,66,9.547,,,
HO_021,27,1,2,15/12/2017,73,9.568,,,
HO_004,27,1,2,16/08/2017,84,9.632,,,
HO-029,27,2,1,2/08/2018,60,9.658,,,
HO_003,27,1,2,29/07/2017,66,9.683,,,
